health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   subscriptions gSqw-JTNR3aULO54okA0ww   1   0          0            0       283b           283b
green  open   books         cpQ0KWazTbOWZ3L1G-8exA 100   0   32423000            0     45.8gb         45.8gb


2019-07-01 20:21:25,270 -not-actor-/PID:30781 esrally.rally INFO OS [posix.uname_result(sysname='Linux', nodename='ip-172-31-39-248', release='4.15.0-1039-aws', version='#41-Ubuntu SMP Wed May 8 10:43:54 UTC 2019', machine='x86_64')]
2019-07-01 20:21:25,271 -not-actor-/PID:30781 esrally.rally INFO Python [namespace(_multiarch='x86_64-linux-gnu', cache_tag='cpython-36', hexversion=50726896, name='cpython', version=sys.version_info(major=3, minor=6, micro=7, releaselevel='final', serial=0))]
2019-07-01 20:21:25,271 -not-actor-/PID:30781 esrally.rally INFO Rally version [1.1.0]
2019-07-01 20:21:25,271 -not-actor-/PID:30781 esrally.utils.net INFO Connecting directly to the Internet (no proxy support).
2019-07-01 20:21:25,283 -not-actor-/PID:30781 esrally.rally INFO Actor system already running locally? [False]
2019-07-01 20:21:25,283 -not-actor-/PID:30781 esrally.actor INFO Starting actor system with system base [multiprocTCPBase] and capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900'}].
2019-07-01 20:21:25,310 -not-actor-/PID:30788 root INFO ++++ Actor System gen (3, 9) started, admin @ ActorAddr-(T|:1900)
2019-07-01 20:21:25,318 -not-actor-/PID:30781 esrally.racecontrol INFO User specified no pipeline. Automatically derived pipeline [from-sources-complete].
2019-07-01 20:21:25,318 -not-actor-/PID:30781 esrally.racecontrol INFO Setting default host to [127.0.0.1:39200]
2019-07-01 20:21:25,319 -not-actor-/PID:30781 esrally.actor INFO Joining already running actor system with system base [multiprocTCPBase].
2019-07-01 20:21:25,320 ActorAddr-(T|:1900)/PID:30788 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 7, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1562012485305'}] match requirements [{'coordinator': True}].
2019-07-01 20:21:25,321 ActorAddr-(T|:1900)/PID:30788 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 7, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1562012485305'}] match requirements [{'coordinator': True}].
2019-07-01 20:21:25,330 ActorAddr-(T|:46245)/PID:30790 esrally.track.loader INFO Reading track specification file [/home/ubuntu/field_update/track.json].
2019-07-01 20:21:25,345 ActorAddr-(T|:46245)/PID:30790 esrally.track.loader INFO Final rendered track for '/home/ubuntu/field_update/track.json' has been written to '/tmp/tmpbkah6k9c.json'.
2019-07-01 20:21:25,351 ActorAddr-(T|:46245)/PID:30790 esrally.metrics INFO Creating in-memory metrics store
2019-07-01 20:21:25,352 ActorAddr-(T|:46245)/PID:30790 esrally.metrics INFO Opening metrics store for trial timestamp=[20190701T202125Z], track=[track], challenge=[field-update-then-index], car=[['8gheap']]
2019-07-01 20:21:25,352 ActorAddr-(T|:46245)/PID:30790 esrally.metrics INFO Creating file race store
2019-07-01 20:21:25,352 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Asking mechanic to start the engine.
2019-07-01 20:21:25,352 ActorAddr-(T|:46245)/PID:30790 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 7, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1562012485305'}] match requirements [{'coordinator': True}].
2019-07-01 20:21:25,359 ActorAddr-(T|:38857)/PID:30791 esrally.actor INFO Received signal from race control to start engine.
2019-07-01 20:21:25,359 ActorAddr-(T|:38857)/PID:30791 esrally.metrics INFO Opening metrics store for trial timestamp=[20190701T202125Z], track=[track], challenge=[field-update-then-index], car=[['8gheap']]
2019-07-01 20:21:25,369 ActorAddr-(T|:38857)/PID:30791 esrally.utils.repo INFO Checking out [master] in [/mnt/tb/teams/default] for distribution version [None].
