2019-09-22 21:45:12,383 -not-actor-/PID:29938 esrally.rally INFO OS [posix.uname_result(sysname='Linux', nodename='ecsf002006ea', release='4.15.0-58-generic', version='#64-Ubuntu SMP Tue Aug 6 11:12:41 UTC 2019', machine='x86_64')]
2019-09-22 21:45:12,383 -not-actor-/PID:29938 esrally.rally INFO Python [namespace(_multiarch='x86_64-linux-gnu', cache_tag='cpython-36', hexversion=50727152, name='cpython', version=sys.version_info(major=3, minor=6, micro=8, releaselevel='final', serial=0))]
2019-09-22 21:45:12,384 -not-actor-/PID:29938 esrally.rally INFO Rally version [1.3.0]
2019-09-22 21:45:12,384 -not-actor-/PID:29938 esrally.utils.net INFO Connecting directly to the Internet (no proxy support).
2019-09-22 21:45:12,806 -not-actor-/PID:29938 esrally.rally INFO Detected a working Internet connection.
2019-09-22 21:45:12,824 -not-actor-/PID:29938 esrally.rally INFO Actor system already running locally? [False]
2019-09-22 21:45:12,824 -not-actor-/PID:29938 esrally.actor INFO Starting actor system with system base [multiprocTCPBase] and capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900'}].
2019-09-22 21:45:12,873 -not-actor-/PID:29945 root INFO ++++ Actor System gen (3, 9) started, admin @ ActorAddr-(T|:1900)
2019-09-22 21:45:12,885 -not-actor-/PID:29938 esrally.racecontrol INFO User specified no pipeline. Automatically derived pipeline [from-sources-complete].
2019-09-22 21:45:12,886 -not-actor-/PID:29938 esrally.racecontrol INFO Setting default host to [127.0.0.1:39200]
2019-09-22 21:45:12,886 -not-actor-/PID:29938 esrally.actor INFO Joining already running actor system with system base [multiprocTCPBase].
2019-09-22 21:45:12,888 ActorAddr-(T|:1900)/PID:29945 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:45:12,888 ActorAddr-(T|:1900)/PID:29945 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:45:12,898 ActorAddr-(T|:39015)/PID:29947 esrally.track.loader INFO Reading track specification file [/home/ubuntu/elastic-dv-inplace-update-benchmark/field_update/track.json].
2019-09-22 21:45:12,918 ActorAddr-(T|:39015)/PID:29947 esrally.track.loader INFO Final rendered track for '/home/ubuntu/elastic-dv-inplace-update-benchmark/field_update/track.json' has been written to '/tmp/tmp8216vzke.json'.
2019-09-22 21:45:12,923 ActorAddr-(T|:39015)/PID:29947 esrally.metrics INFO Creating in-memory metrics store
2019-09-22 21:45:12,923 ActorAddr-(T|:39015)/PID:29947 esrally.metrics INFO Opening metrics store for trial timestamp=[20190922T214512Z], track=[track], challenge=[field-update-then-index], car=[['4gheap']]
2019-09-22 21:45:12,923 ActorAddr-(T|:39015)/PID:29947 esrally.metrics INFO Creating file race store
2019-09-22 21:45:12,924 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Asking mechanic to start the engine.
2019-09-22 21:45:12,924 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:45:12,935 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Received signal from race control to start engine.
2019-09-22 21:45:12,936 ActorAddr-(T|:33513)/PID:29948 esrally.metrics INFO Opening metrics store for trial timestamp=[20190922T214512Z], track=[track], challenge=[field-update-then-index], car=[['4gheap']]
2019-09-22 21:45:13,843 ActorAddr-(T|:33513)/PID:29948 esrally.utils.repo INFO Checking out [master] in [/home/ubuntu/.rally/benchmarks/teams/default] for distribution version [None].
2019-09-22 21:45:13,864 ActorAddr-(T|:33513)/PID:29948 esrally.utils.process INFO b"Switched to branch 'master'\n"
2019-09-22 21:45:13,865 ActorAddr-(T|:33513)/PID:29948 esrally.utils.process INFO b"Your branch is up to date with 'origin/master'.\n"
2019-09-22 21:45:13,866 ActorAddr-(T|:33513)/PID:29948 esrally.utils.repo INFO Rebasing on [master] in [/home/ubuntu/.rally/benchmarks/teams/default] for distribution version [None].
2019-09-22 21:45:13,884 ActorAddr-(T|:33513)/PID:29948 esrally.utils.process INFO b"Already on 'master'\n"
2019-09-22 21:45:13,885 ActorAddr-(T|:33513)/PID:29948 esrally.utils.process INFO b"Your branch is up to date with 'origin/master'.\n"
2019-09-22 21:45:13,924 ActorAddr-(T|:33513)/PID:29948 esrally.utils.process INFO b'Current branch master is up to date.\n'
2019-09-22 21:45:13,937 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Cluster consisting of [{'host': '127.0.0.1', 'port': 39200}] will be provisioned by Rally.
2019-09-22 21:45:13,937 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{}].
2019-09-22 21:45:13,947 ActorAddr-(T|:33053)/PID:30010 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:45:13,955 ActorAddr-(T|:32839)/PID:30011 esrally.actor INFO Starting node(s) [0] on [127.0.0.1].
2019-09-22 21:45:13,957 ActorAddr-(T|:32839)/PID:30011 esrally.metrics INFO Opening metrics store for trial timestamp=[20190922T214512Z], track=[track], challenge=[field-update-then-index], car=[['4gheap']]
2019-09-22 21:45:14,700 ActorAddr-(T|:32839)/PID:30011 esrally.utils.repo INFO Checking out revision [c72b2ed] in [/home/ubuntu/.rally/benchmarks/teams/default].
2019-09-22 21:45:14,717 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b"Note: checking out 'c72b2ed'.\n"
2019-09-22 21:45:14,717 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'\n'
2019-09-22 21:45:14,717 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b"You are in 'detached HEAD' state. You can look around, make experimental\n"
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'changes and commit them, and you can discard any commits you make in this\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'state without impacting any branches by performing another checkout.\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'If you want to create a new branch to retain commits you create, you may\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'do so (now or later) by using -b with the checkout command again. Example:\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'\n'
2019-09-22 21:45:14,718 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'  git checkout -b <new-branch-name>\n'
2019-09-22 21:45:14,719 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'\n'
2019-09-22 21:45:14,719 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'HEAD is now at c72b2ed Have G1-related settings match ES defaults\n'
2019-09-22 21:45:14,775 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.java_resolver INFO Allowed JDK versions are [12, 11].
2019-09-22 21:45:14,835 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.java_resolver INFO Detected JDK with major version [12] in [/usr/lib/jvm/java-12-oracle].
2019-09-22 21:45:14,836 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.supplier INFO Skip fetching sources for Elasticsearch.
2019-09-22 21:45:14,855 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.supplier INFO User-specified revision [current] for [Elasticsearch] results in git revision [adc1ef4f01e]
2019-09-22 21:47:26,611 ActorAddr-(T|:33513)/PID:29948 esrally.client INFO Creating ES client connected to [{'host': '127.0.0.1', 'port': 39200}] with options [{'timeout': 1200000, 'retry-on-timeout': True}]
