curl '127.0.0.1:39200/_cat/indices?pretty&v'
health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   books         WUcOZoayRT-tFeEG4K6QMw 100   0   32067490            0     40.8gb         40.8gb
green  open   subscriptions J9OvflFmT1C8MSHpFt2T2g   1   0          0            0       283b           283b

|   Lap |                                                         Metric |                          Task |      Value |   Unit |
|------:|---------------------------------------------------------------:|------------------------------:|-----------:|-------:|
|   All |                     Cumulative indexing time of primary shards |                               |    146.615 |    min |
|   All |             Min cumulative indexing time across primary shards |                               |          0 |    min |
|   All |          Median cumulative indexing time across primary shards |                               |     1.4405 |    min |
|   All |             Max cumulative indexing time across primary shards |                               |    1.86058 |    min |
|   All |            Cumulative indexing throttle time of primary shards |                               |    2855.46 |    min |
|   All |    Min cumulative indexing throttle time across primary shards |                               |          0 |    min |
|   All | Median cumulative indexing throttle time across primary shards |                               |    28.6474 |    min |
|   All |    Max cumulative indexing throttle time across primary shards |                               |    30.7979 |    min |
|   All |                        Cumulative merge time of primary shards |                               |    311.646 |    min |
|   All |                       Cumulative merge count of primary shards |                               |      13854 |        |
|   All |                Min cumulative merge time across primary shards |                               |          0 |    min |
|   All |             Median cumulative merge time across primary shards |                               |     3.0945 |    min |
|   All |                Max cumulative merge time across primary shards |                               |    3.46565 |    min |
|   All |               Cumulative merge throttle time of primary shards |                               |    18.0559 |    min |
|   All |       Min cumulative merge throttle time across primary shards |                               |          0 |    min |
|   All |    Median cumulative merge throttle time across primary shards |                               |   0.175567 |    min |
|   All |       Max cumulative merge throttle time across primary shards |                               |   0.271883 |    min |
|   All |                      Cumulative refresh time of primary shards |                               |    261.219 |    min |
|   All |                     Cumulative refresh count of primary shards |                               |     127841 |        |
|   All |              Min cumulative refresh time across primary shards |                               |          0 |    min |
|   All |           Median cumulative refresh time across primary shards |                               |    2.61278 |    min |
|   All |              Max cumulative refresh time across primary shards |                               |    2.68272 |    min |
|   All |                        Cumulative flush time of primary shards |                               |    0.18505 |    min |
|   All |                       Cumulative flush count of primary shards |                               |        101 |        |
|   All |                Min cumulative flush time across primary shards |                               |          0 |    min |
|   All |             Median cumulative flush time across primary shards |                               |    0.00165 |    min |
|   All |                Max cumulative flush time across primary shards |                               | 0.00456667 |    min |
|   All |                                               Median CPU usage |                               |         34 |      % |
|   All |                                             Total Young Gen GC |                               |    2610.99 |      s |
