|   Lap |                                                         Metric |                          Task |       Value |   Unit |
|------:|---------------------------------------------------------------:|------------------------------:|------------:|-------:|
|   All |                     Cumulative indexing time of primary shards |                               |      0.4153 |    min |
|   All |             Min cumulative indexing time across primary shards |                               |  0.00323333 |    min |
|   All |          Median cumulative indexing time across primary shards |                               |  0.00388333 |    min |
|   All |             Max cumulative indexing time across primary shards |                               |  0.00896667 |    min |
|   All |            Cumulative indexing throttle time of primary shards |                               |           0 |    min |
|   All |    Min cumulative indexing throttle time across primary shards |                               |           0 |    min |
|   All | Median cumulative indexing throttle time across primary shards |                               |           0 |    min |
|   All |    Max cumulative indexing throttle time across primary shards |                               |           0 |    min |
|   All |                        Cumulative merge time of primary shards |                               |           0 |    min |
|   All |                       Cumulative merge count of primary shards |                               |           0 |        |
|   All |                Min cumulative merge time across primary shards |                               |           0 |    min |
|   All |             Median cumulative merge time across primary shards |                               |           0 |    min |
|   All |                Max cumulative merge time across primary shards |                               |           0 |    min |
|   All |               Cumulative merge throttle time of primary shards |                               |           0 |    min |
|   All |       Min cumulative merge throttle time across primary shards |                               |           0 |    min |
|   All |    Median cumulative merge throttle time across primary shards |                               |           0 |    min |
|   All |       Max cumulative merge throttle time across primary shards |                               |           0 |    min |
|   All |                      Cumulative refresh time of primary shards |                               |   0.0413833 |    min |
|   All |                     Cumulative refresh count of primary shards |                               |         389 |        |
|   All |              Min cumulative refresh time across primary shards |                               |           0 |    min |
|   All |           Median cumulative refresh time across primary shards |                               |     0.00035 |    min |
|   All |              Max cumulative refresh time across primary shards |                               |  0.00148333 |    min |
|   All |                        Cumulative flush time of primary shards |                               |           0 |    min |
|   All |                       Cumulative flush count of primary shards |                               |           0 |        |
|   All |                Min cumulative flush time across primary shards |                               |           0 |    min |
|   All |             Median cumulative flush time across primary shards |                               |           0 |    min |
|   All |                Max cumulative flush time across primary shards |                               |           0 |    min |
|   All |                                               Median CPU usage |                               |       396.6 |      % |
|   All |                                             Total Young Gen GC |                               |       12.16 |      s |
|   All |                                               Total Old Gen GC |                               |           0 |      s |
|   All |                                                     Store size |                               |    0.189978 |     GB |
|   All |                                                  Translog size |                               |    0.120181 |     GB |
|   All |                                                     Index size |                               |    0.311852 |     GB |
|   All |                                                  Total written |                               |    0.673466 |     GB |
|   All |                                         Heap used for segments |                               |    0.374644 |     MB |
|   All |                                       Heap used for doc values |                               |   0.0541039 |     MB |
